GFN Account Number;Account Name;Account Owner;Accounting Clerk: Accounting Clerk Code;Banding;Legal Entity;Market Segment / Characteristics;Sales Rep Code;GFN Status
AB10000854;Carry8511 Ltd;Alice Thompson;8L;Gold;PLC;Retail;50019853;Blocked
AB10000855;Carry2194 Ltd;Olivia Davis;3G;Gold;CIC;Energy;50058021;Blocked
AB10000856;Move7249 Ltd;James White;3G;Gold;CIC;Retail;50057380;Active
AB10000857;Trans3171 Ltd;Sophie Green;0N;Bronze;CIC;Technology;50085126;Active
AB10000858;Carry4448 Ltd;Emma Johnson;3G;Bronze;Ltd;Manufacturing;50057723;Active
AB10000859;Move6285 Ltd;James White;5I;Gold;PLC;Education;50014803;Blocked
AB10000860;Move8756 Ltd;Emma Johnson;7K;Platinum;Unlimited;Retail;50088182;Active
AB10000861;Carry2963 Ltd;Olivia Davis;8L;Bronze;PLC;Technology;50025959;Active
AB10000862;Trans5645 Ltd;Emily Lewis;5I;Gold;Unlimited;Finance;50012256;Blocked
AB10000863;Ship7193 Ltd;William Clark;3G;Silver;Unlimited;Retail;50087319;Blocked
AB10000864;Trans2791 Ltd;Michael Brown;4H;Gold;CIC;Finance;50075560;Active
AB10000865;Ship8658 Ltd;Alice Thompson;1E;Silver;Ltd;Energy;50099523;Active
AB10000866;Carry9404 Ltd;Gerard van Herpen;2F;Gold;PLC;Energy;50044996;Active
AB10000867;Ship1802 Ltd;Emily Lewis;6J;Silver;LLP;Manufacturing;50059710;Active
AB10000868;Ship1592 Ltd;James White;5I;Silver;CIC;Retail;50014977;Active
AB10000869;Move9543 Ltd;Alice Thompson;3G;Gold;Unlimited;Wholesale;50032612;Blocked
AB10000870;Trans2827 Ltd;Alice Thompson;1E;Gold;Ltd;Education;50038905;Active
AB10000871;Move2342 Ltd;Emily Lewis;7K;Bronze;Unlimited;Retail;50086849;Active
AB10000872;Carry7375 Ltd;William Clark;3G;Bronze;Unlimited;Technology;50060167;Active
AB10000873;Carry2629 Ltd;Emily Lewis;8L;Gold;CIC;Manufacturing;50099933;Active
AB10000874;Trans3677 Ltd;Sophie Green;5I;Silver;CIC;Retail;50007965;Active
AB10000875;Move2198 Ltd;Gerard van Herpen;1E;Gold;Unlimited;Energy;50011194;Blocked
AB10000876;Ship9055 Ltd;Olivia Davis;3G;Bronze;Ltd;Energy;50005404;Active
AB10000877;Carry8029 Ltd;Alice Thompson;3G;Gold;Ltd;Healthcare;50015554;Blocked
AB10000878;Move1009 Ltd;Olivia Davis;7K;Platinum;Ltd;Healthcare;50068994;Active
AB10000879;Move3537 Ltd;Gerard van Herpen;6J;Silver;Ltd;Retail;50036119;Blocked
AB10000880;Ship9728 Ltd;Sophie Green;8L;Silver;LLP;Retail;50014376;Blocked
AB10000881;Trans1755 Ltd;Sophie Green;9M;Bronze;PLC;Manufacturing;50086193;Active
AB10000882;Carry6975 Ltd;Michael Brown;2F;Silver;LLP;Wholesale;50062692;Active
AB10000883;Trans3378 Ltd;James White;6J;Platinum;Unlimited;Finance;50040173;Active
AB10000884;Carry3888 Ltd;Emma Johnson;6J;Bronze;CIC;Technology;50044301;Blocked
AB10000885;Carry5487 Ltd;James White;7K;Platinum;Ltd;Finance;50093581;Active
AB10000886;Move1060 Ltd;Michael Brown;9M;Gold;Unlimited;Manufacturing;50039640;Active
AB10000887;Move8518 Ltd;Emily Lewis;4H;Platinum;PLC;Healthcare;50006272;Active
AB10000888;Move3601 Ltd;James White;0N;Gold;Unlimited;Manufacturing;50015506;Active
AB10000889;Carry7951 Ltd;William Clark;7K;Silver;LLP;Energy;50027672;Blocked
AB10000890;Carry8345 Ltd;Emily Lewis;3G;Bronze;CIC;Wholesale;50060764;Active
AB10000891;Trans6644 Ltd;Daniel Smith;6J;Gold;CIC;Retail;50054437;Active
AB10000892;Ship3851 Ltd;Alice Thompson;7K;Bronze;CIC;Manufacturing;50067793;Active
AB10000893;Move1921 Ltd;Alice Thompson;4H;Bronze;PLC;Energy;50058414;Active
AB10000894;Carry7828 Ltd;Olivia Davis;8L;Silver;Ltd;Education;50099278;Active
AB10000895;Trans5142 Ltd;Emma Johnson;7K;Platinum;Ltd;Wholesale;50094347;Blocked
AB10000896;Move1482 Ltd;Gerard van Herpen;2F;Bronze;Ltd;Education;50041553;Blocked
AB10000897;Ship2763 Ltd;Olivia Davis;5I;Bronze;CIC;Manufacturing;50061778;Blocked
AB10000898;Trans6481 Ltd;Olivia Davis;5I;Silver;Ltd;Manufacturing;50073664;Blocked
AB10000899;Move9097 Ltd;Emma Johnson;4H;Gold;Ltd;Manufacturing;50076630;Active
AB10000900;Ship4676 Ltd;Emily Lewis;9M;Silver;CIC;Finance;50000618;Blocked
AB10000901;Move1359 Ltd;Daniel Smith;5I;Silver;Ltd;Education;50064363;Blocked
AB10000902;Ship4448 Ltd;Gerard van Herpen;9M;Bronze;LLP;Wholesale;50011355;Blocked
AB10000903;Trans9286 Ltd;James White;8L;Bronze;Unlimited;Manufacturing;50091965;Active
AB10000904;Trans7673 Ltd;James White;7K;Platinum;PLC;Energy;50076285;Blocked
AB10000905;Move4663 Ltd;Gerard van Herpen;0N;Bronze;LLP;Energy;50072223;Active
AB10000906;Trans9300 Ltd;Olivia Davis;2F;Gold;LLP;Retail;50049946;Active
AB10000907;Ship2047 Ltd;Gerard van Herpen;4H;Silver;Ltd;Finance;50073181;Blocked
AB10000908;Ship3607 Ltd;Emily Lewis;7K;Platinum;PLC;Wholesale;50069057;Active
AB10000909;Move2074 Ltd;Sophie Green;5I;Silver;LLP;Retail;50095851;Active
AB10000910;Carry9926 Ltd;Olivia Davis;9M;Gold;LLP;Technology;50086026;Active
AB10000911;Carry7101 Ltd;Michael Brown;3G;Bronze;Unlimited;Wholesale;50069671;Blocked
AB10000912;Ship7921 Ltd;James White;2F;Platinum;CIC;Healthcare;50055232;Blocked
AB10000913;Move6764 Ltd;Daniel Smith;0N;Gold;Unlimited;Manufacturing;50031310;Blocked
AB10000914;Ship9837 Ltd;Olivia Davis;4H;Platinum;Unlimited;Retail;50053996;Active
AB10000915;Carry5346 Ltd;Daniel Smith;7K;Bronze;Unlimited;Technology;50057967;Active
AB10000916;Ship7286 Ltd;James White;1E;Bronze;PLC;Energy;50071540;Active
AB10000917;Carry7750 Ltd;Emily Lewis;7K;Platinum;PLC;Energy;50062433;Active
AB10000918;Move6826 Ltd;Emma Johnson;0N;Bronze;Ltd;Finance;50027280;Blocked
AB10000919;Ship4888 Ltd;William Clark;6J;Platinum;CIC;Wholesale;50078282;Active
AB10000920;Move4711 Ltd;Daniel Smith;6J;Platinum;CIC;Healthcare;50010516;Active
AB10000921;Move6089 Ltd;Olivia Davis;6J;Silver;CIC;Education;50048045;Active
AB10000922;Ship3346 Ltd;Olivia Davis;6J;Bronze;Unlimited;Healthcare;50056478;Blocked
AB10000923;Trans7806 Ltd;Daniel Smith;0N;Bronze;Unlimited;Healthcare;50063097;Active
AB10000924;Carry5829 Ltd;Sophie Green;2F;Platinum;PLC;Retail;50019245;Blocked
AB10000925;Carry2384 Ltd;Daniel Smith;1E;Silver;PLC;Technology;50013740;Blocked
AB10000926;Trans3787 Ltd;Daniel Smith;8L;Gold;PLC;Healthcare;50056399;Blocked
AB10000927;Carry7312 Ltd;Daniel Smith;5I;Bronze;LLP;Manufacturing;50058477;Active
AB10000928;Carry8356 Ltd;Michael Brown;6J;Platinum;Unlimited;Healthcare;50016987;Blocked
AB10000929;Move2981 Ltd;James White;6J;Silver;Ltd;Energy;50097610;Blocked
AB10000930;Ship1877 Ltd;Olivia Davis;1E;Platinum;LLP;Manufacturing;50003740;Active
AB10000931;Ship4598 Ltd;Daniel Smith;8L;Gold;PLC;Wholesale;50028121;Active
AB10000932;Ship7005 Ltd;Sophie Green;9M;Bronze;Unlimited;Wholesale;50014446;Active
AB10000933;Ship1226 Ltd;Emma Johnson;4H;Gold;CIC;Manufacturing;50089945;Active
AB10000934;Move7703 Ltd;Emma Johnson;6J;Silver;Unlimited;Healthcare;50014759;Active
AB10000935;Trans8264 Ltd;James White;4H;Platinum;CIC;Education;50001422;Blocked
AB10000936;Trans6847 Ltd;Emma Johnson;6J;Bronze;CIC;Finance;50021239;Active
AB10000937;Move4485 Ltd;Emma Johnson;7K;Platinum;PLC;Technology;50078489;Blocked
AB10000938;Move9425 Ltd;Daniel Smith;0N;Bronze;CIC;Education;50021781;Blocked
AB10000939;Move7112 Ltd;Emily Lewis;9M;Gold;CIC;Wholesale;50000377;Active
AB10000940;Carry9474 Ltd;James White;5I;Bronze;LLP;Education;50050056;Blocked
AB10000941;Carry6089 Ltd;Emma Johnson;9M;Bronze;LLP;Technology;50009272;Blocked
AB10000942;Move2138 Ltd;Olivia Davis;4H;Gold;Ltd;Healthcare;50077696;Blocked
AB10000943;Trans8296 Ltd;William Clark;3G;Silver;Ltd;Energy;50075567;Active
AB10000944;Carry2771 Ltd;James White;3G;Silver;PLC;Healthcare;50015436;Active
AB10000945;Carry3576 Ltd;James White;1E;Silver;PLC;Energy;50049725;Active
AB10000946;Carry5076 Ltd;William Clark;7K;Gold;PLC;Energy;50089697;Blocked
AB10000947;Move8335 Ltd;Sophie Green;5I;Gold;Unlimited;Retail;50040186;Blocked
AB10000948;Carry3127 Ltd;Olivia Davis;8L;Platinum;LLP;Wholesale;50052625;Active
AB10000949;Carry1112 Ltd;Gerard van Herpen;9M;Platinum;PLC;Manufacturing;50016009;Active
AB10000950;Move1952 Ltd;William Clark;6J;Platinum;Ltd;Energy;50073959;Blocked
AB10000951;Trans4981 Ltd;Emma Johnson;5I;Platinum;LLP;Wholesale;50025954;Blocked
AB10000952;Ship2527 Ltd;Emma Johnson;2F;Platinum;Unlimited;Manufacturing;50086760;Active
AB10000953;Carry5675 Ltd;Alice Thompson;7K;Platinum;LLP;Finance;50027240;Active
AB10000954;Carry6134 Ltd;Emma Johnson;9M;Silver;Ltd;Finance;50033765;Blocked
AB10000955;Ship5309 Ltd;Alice Thompson;6J;Platinum;PLC;Technology;50002494;Active
AB10000956;Carry8257 Ltd;William Clark;8L;Platinum;Unlimited;Technology;50010888;Blocked
AB10000957;Carry9728 Ltd;James White;3G;Bronze;LLP;Manufacturing;50052538;Blocked
AB10000958;Move7199 Ltd;William Clark;7K;Gold;PLC;Wholesale;50089065;Blocked
AB10000959;Ship7283 Ltd;James White;3G;Bronze;LLP;Technology;50095391;Blocked
AB10000960;Trans2798 Ltd;Gerard van Herpen;2F;Bronze;Ltd;Healthcare;50027644;Blocked
AB10000961;Move3515 Ltd;James White;4H;Silver;PLC;Wholesale;50031528;Active
AB10000962;Move8037 Ltd;James White;8L;Gold;Ltd;Wholesale;50001225;Active
AB10000963;Carry8988 Ltd;Emma Johnson;9M;Bronze;CIC;Energy;50011845;Blocked
AB10000964;Carry2350 Ltd;Olivia Davis;0N;Platinum;Ltd;Education;50015774;Blocked
AB10000965;Move2130 Ltd;James White;1E;Bronze;CIC;Energy;50096122;Blocked
AB10000966;Ship2583 Ltd;Michael Brown;8L;Bronze;Ltd;Technology;50022486;Active
AB10000967;Move8461 Ltd;Alice Thompson;0N;Gold;PLC;Retail;50047881;Active
AB10000968;Move1774 Ltd;Olivia Davis;7K;Platinum;PLC;Technology;50034269;Active
AB10000969;Move2096 Ltd;Emma Johnson;7K;Gold;CIC;Wholesale;50099008;Active
AB10000970;Ship9171 Ltd;William Clark;8L;Bronze;Unlimited;Manufacturing;50077106;Active
AB10000971;Carry3021 Ltd;Emily Lewis;4H;Bronze;Unlimited;Wholesale;50084159;Blocked
AB10000972;Move8326 Ltd;Michael Brown;3G;Bronze;Ltd;Energy;50008509;Blocked
AB10000973;Ship1476 Ltd;William Clark;2F;Platinum;LLP;Finance;50000173;Blocked
AB10000974;Carry5944 Ltd;Daniel Smith;1E;Bronze;Unlimited;Wholesale;50099878;Active
AB10000975;Ship7352 Ltd;Gerard van Herpen;9M;Gold;CIC;Healthcare;50057751;Blocked
AB10000976;Trans3754 Ltd;Gerard van Herpen;8L;Gold;Ltd;Energy;50056161;Blocked
AB10000977;Ship4817 Ltd;Michael Brown;5I;Gold;Unlimited;Technology;50013538;Blocked
AB10000978;Ship9275 Ltd;James White;1E;Silver;Unlimited;Retail;50067866;Active
AB10000979;Carry1660 Ltd;Alice Thompson;4H;Platinum;LLP;Education;50037442;Active
AB10000980;Ship7203 Ltd;William Clark;2F;Gold;PLC;Healthcare;50002018;Blocked
AB10000981;Ship8485 Ltd;Michael Brown;7K;Platinum;CIC;Education;50043252;Blocked
AB10000982;Move4587 Ltd;Olivia Davis;3G;Silver;PLC;Retail;50051867;Active
AB10000983;Move3428 Ltd;Olivia Davis;6J;Bronze;Unlimited;Retail;50040450;Blocked
AB10000984;Move6701 Ltd;Alice Thompson;4H;Silver;LLP;Retail;50055952;Active
AB10000985;Carry4140 Ltd;James White;9M;Bronze;PLC;Energy;50069803;Active
AB10000986;Move3879 Ltd;Olivia Davis;5I;Silver;Ltd;Technology;50097111;Blocked
AB10000987;Carry5118 Ltd;Emily Lewis;7K;Gold;LLP;Retail;50062959;Active
AB10000988;Carry2919 Ltd;Emily Lewis;0N;Silver;Ltd;Retail;50080795;Active
AB10000989;Carry3329 Ltd;Michael Brown;8L;Silver;Ltd;Finance;50012124;Active
AB10000990;Trans7754 Ltd;Alice Thompson;2F;Silver;Unlimited;Wholesale;50073431;Active
AB10000991;Trans8384 Ltd;Emma Johnson;0N;Silver;PLC;Retail;50017922;Active
AB10000992;Trans1160 Ltd;James White;3G;Platinum;CIC;Education;50086963;Blocked
AB10000993;Ship9460 Ltd;William Clark;6J;Platinum;LLP;Wholesale;50014464;Active
AB10000994;Carry5033 Ltd;Olivia Davis;6J;Silver;Ltd;Education;50034749;Active
AB10000995;Ship3801 Ltd;William Clark;2F;Silver;LLP;Technology;50026855;Blocked
AB10000996;Ship4540 Ltd;Emily Lewis;9M;Gold;LLP;Manufacturing;50096295;Active
AB10000997;Ship7558 Ltd;James White;0N;Silver;Unlimited;Manufacturing;50084813;Blocked
AB10000998;Trans8777 Ltd;Sophie Green;8L;Gold;PLC;Finance;50028272;Active
AB10000999;Ship9774 Ltd;Daniel Smith;5I;Bronze;LLP;Finance;50062655;Blocked
